1,1.1,271.2
2,271.2,304.1
3,304.1,321.3
4,321.3,327.5
5,327.5,351.1
6,351.1,354.1
7,354.1,356.1
8,356.1,357.1
9,357.1,359.1
10,359.1,361.1
11,361.1,363.1
12,363.1,364.3
13,364.3,404.6
14,404.6,439.5
15,439.5,480.1
16,480.1,529.3
17,529.3,654.6
18,655.1,668.6
19,668.6,698.6
20,1.1,100.2
21,100.2,195.3
22,195.3,315.2
23,315.2,363.1
24,363.1,701.6
25,701.6,756.6
26,1.1,62.6
27,63.1,100.6
28,101.1,113.6
29,114.1,116.6
30,117.1,120.1
31,120.1,123.4
32,123.4,146.6
33,147.1,153.1
34,153.1,164.1
35,164.1,342.4
36,342.4,358.6
37,359.1,376.4
38,376.4,405.6
39,406.1,481.6
40,482.1,491.1
41,491.1,497.3
42,497.3,511.3
43,511.3,547.3
44,547.3,569.6
45,570.1,591.4
46,591.4,621.4
47,621.4,636.6
48,637.1,716.1
49,716.1,726.6
50,1.1,267.6
51,268.1,290.2
52,290.2,660.3
53,660.3,716.3
54,716.3,748.6
55,1.1,30.4
56,30.4,186.6
57,188.1,205.6
58,207.1,265.2
59,265.2,300.6
60,302.1,326.2
61,326.2,417.6
62,419.1,499.3
63,499.3,523.1
64,523.1,586.3
65,586.3,723.6
66,1.1,61.2
67,61.2,70.3
68,70.3,253.6
69,255.1,265.6
70,267.1,281.2
71,281.2,319.4
72,319.4,383.1
73,383.1,416.1
74,416.1,432.2
75,432.2,441.2
76,441.2,451.6
77,453.1,469.6
78,471.1,493.6
79,495.1,540.2
80,540.2,560.6
81,562.1,608.6
82,610.1,642.1
83,642.1,671.1
84,671.1,689.6
85,691.1,716.1
86,716.1,740.1
87,741.1,770.6
88,1.1,5.1
89,6.1,71.2
90,71.2,91.6
91,93.1,106.3
92,106.3,262.6
93,264.1,291.2
94,291.2,310.6
95,312.1,333.6
96,335.1,358.3
97,358.3,484.6
98,486.1,508.6
99,510.1,522.2
100,522.2,571.6
101,573.1,597.3
102,597.3,623.6
103,625.1,640.6
104,1.1,235.2
105,235.2,251.1
106,251.1,258.1
107,258.1,265.1
108,265.1,270.1
109,270.1,276.1
110,276.1,278.1
111,278.1,296.1
112,296.1,320.1
113,320.1,339.1
114,339.1,360.1
115,360.1,363.1
116,363.1,368.6
117,370.1,381.6
118,383.1,400.2
119,400.2,413.3
120,413.3,420.3
121,420.3,436.1
122,436.1,447.1
123,447.1,468.1
124,468.1,473.1
125,473.1,475.1
126,475.1,480.1
127,480.1,491.1
128,491.1,494.1
129,494.1,495.1
130,495.1,498.1
131,498.1,497.6
132,499.1,534.1
133,534.1,540.1
134,540.1,53.6
135,543.1,564.3
136,564.3,627.3
137,627.3,695.6
138,697.1,728.1
139,728.1,743.1
140,743.1,758.6
141,1.1,26.1
142,27.1,71.4
143,71.4,103.1
144,103.1,135.3
145,135.3,143.3
146,143.3,160.1
147,160.1,208.2
148,208.2,245.6
149,247.1,267.5
150,267.5,302.1
151,302.1,323.6
152,325.1,361.1
153,361.1,385.2
154,385.2,407.6
155,409.1,415.1
156,416.1,425.6
157,425.6,441.6
158,443.1,480.1
159,480.1,582.1
160,0.1,0.6
161,1.1,571.6
162,573.1,760.6
163,1.1,101.2
164,101.2,213.1
165,213.1,261.1
166,261.1,315.1
167,315.1,347.1
168,347.1,383.1
169,383.1,417.6
170,419.1,447.2
171,447.2,457.6
172,459.1,494.6
173,496.1,533.2
174,533.2,685.1
175,685.1,726.6
176,1.1,68.3
177,68.3,93.6
178,95.1,143.1
179,144.1,181.3
180,181.3,199.1
181,199.1,251.1
182,252.1,328.6
183,330.1,356.3
184,356.3,389.1
185,389.1,521.1
186,521.1,678.2
187,678.2,790.6
188,1.1,95.2
189,95.2,187.1
190,188.1,260.6
191,262.1,325.1
192,325.1,520.1
193,521.1,814.6
194,1.1,130.4
195,130.4,136.3
196,136.3,141.1
197,141.1,184.6
198,186.1,312.6
199,314.1,372.1
200,372.1,559.1
201,559.1,734.1
202,734.1,764.6
203,1.1,73.3
204,73.3,359.3
205,359.3,559.1
206,559.1,710.6
207,1.1,214.1
208,214.1,353.6
209,355.1,573.6
210,575.1,674.1
211,674.1,710.6
212,1.1,99.6
213,101.1,147.1
214,147.1,153.6
215,155.1,176.1
216,177.1,221.1
217,221.1,253.3
218,253.3,315.1
219,316.1,385.1
220,386.1,418.1
221,418.1,431.1
222,432.1,440.1
223,441.1,455.1
224,455.1,479.1
225,480.1,539.1
226,540.1,553.6
227,555.1,589.1
228,589.1,732.6
229,1.1,220.5
230,220.5,268.1
231,268.1,316.6
232,318.1,360.6
233,362.1,403.6
234,405.1,447.2
235,447.2,496.1
236,496.1,537.6
237,539.1,571.6
238,573.1,629.1
239,630.1,672.3
240,672.3,832.6
241,1.1,205.2
242,205.2,404.2
243,404.2,691.3
244,691.3,700.6
245,1.1,290.1
246,290.1,363.6
247,365.1,375.6
248,377.1,414.2
249,414.2,533.6
250,535.1,631.2
