13,13,རྒྱུད་ཀྱི་རྩེ་རྒྱལ་ཉི་ཟླ་འོད་འབར་མཁའ་ཀློང་རྣམ་དག་རྒྱ་མཚོ་ཀློང་གསལ་གྱི་རྒྱུད།,1,364.3,404.6,24,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,སློབ་དཔོན་པདྨ་དང་སྐ་བ་དཔལ་བརྩེགས་ཀྱིས་བསྒྱུར།,ད- ཀ༢༢༠- ༡༣༥ ཚ- ཐ༢༠
14,14,རྡོ་རྗེ་སེམས་དཔའ་ཡི་གེ་བརྒྱ་པ་དབང་མཆོག་རྒྱལ་པོའི་རྒྱུད།,1,404.6,439.5,21,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,ད- ཀ༡༣༥- ༡༤༦
15,15,རྡོ་རྗེ་སེམས་དཔའ་ཡི་གེ་བརྒྱ་པ་དབང་མཆོག་རྒྱལ་པོའི་རྒྱུད་ཕྱི་མ།,1,439.5,480.1,28,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,སློབ་དཔོན་པདྨ་དང་ལོ་ཙཱ་བ་ནམ་མཁའི་སྙིང་པོས་བསྒྱུར་བ།,ད- ཀ༡༤༧- ༡༦༠ ཚ- པ༢༥
16,16,རྡོ་རྗེ་སེམས་དཔའ་ཡི་གེ་བརྒྱ་པ་ཐུགས་ཕྲིན་ལས་ཐམས་ཅད་ཀྱི་དམ་ཚིག་གི་རྒྱུད།,1,480.1,529.3,27,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,སྤྲུལ་སྐུ་པདྨ་འབྱུང་གནས་དང་། དགེ་སློང་ནམ་མཁའི་སྙིང་པོས་བསྒྱུར་བ།,ད- ཀ༡༦༠- ༡༧༦ ཚ- པ༢༦
17,17,རྫོགས་པ་ཆེན་པོ་ངེས་དོན་འདུས་པའི་རྒྱུད།,1,529.3,654.6,81,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,བི་མ་མི་ཏྲ་དང་ཨཱ་ཙཪྱ་དྲན་པ་ཡེ་ཤེས་ཀྱིས་བསྒྱུར་བ།,ད- ཀ༡༧༧- ༢༢༢ ཚ- ཆ༡
18,18,རྫོགས་པ་ཆེན་པོ་རིན་པོ་ཆེ་འཁོར་བ་རྩད་གཅོད།,1,655.1,668.6,7,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,ད- ཀ༢༢༢- ༢༢༧ ཚ- ཆ༢,འགྱུར་བྱང་མི་བཞུགས།
19,19,རྫོགས་པ་ཆེན་པོ་འཁོར་བ་རྩད་ནས་གཅོད་པ་ཆོས་སྐུ་སྐྱེ་མེད་རིག་པའི་རྒྱུད།,1,668.6,698,24,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,རྒྱ་གར་གྱི་མཁན་པོ་བི་མ་ལ་མི་ཏྲ་དང་། ཨ་ཙཪྱ་དྲན་པ་ཡེ་ཤེས་ཀྱིས་བསྒྱུར་བ།,ད- ཀ༢༢༧- ༢༣༦ ཚ- ཆ༣
20,20,རྫོགས་པ་ཆེན་པོ་ལྟ་བའི་ཡང་སྙིང་སངས་རྒྱས་ཐམས་ཅད་ཀྱི་དགོངས་པ་ནམ་མཁའ་ཀློང་ཡངས་ཀྱི་རྒྱུད།,2,1.1,100.2,53,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,མཁན་པོ་བི་མ་ལ་དང་དྲན་པ་ཡེ་ཤེས་ཀྱིས་བསྒྱུར།,ད- ཀ༢༣༧- ༢༦༩ ཚ- ཆ༤,རྫོགས་པ་ཆེན་པོ་ལྟ་བའི་ཡང་སྙིང་། སངས་རྒྱས་ཐམས་ཅད་ཀྱི་དགོངས་པ། ནམ་མཁའ་ཀློང་ཡངས་ཀྱི་རྒྱུད་ཅེས་བྱ་བ། གསེར་གྱི་དྲིལ་ཤིང་ཅན་འདི།            དང་པོ་ངོ་བོ་ཉིད་ཀྱི་སྐུས། རྒྱལ་བ་ཀུན་ཏུ་བཟང་པོ་ལ་བཤད། དེས་རྡོ་རྗེ་སེམས་དཔའ་ལ་བཤད། དེས་དགའ་རབ་རྡོ་རྗེ་ལ་བཤད།            དེས་བྲམ་ཟེ་བདེ་མཆོག་སྙིང་པོ་ལ་བཤད། དེས་ཤྲཱི་སེང་ཧ་ལ་བཤད། དེས་བི་མ་མི་ཏྲ་ལ་བཤད། དེས་མྱང་ཏིང་འཛིན་བཟང་པོ་ལ་བཤད།            དེས་གཏེར་དུ་སྦས་པ་འབྲོམ་ཡེ་ཤེས་བླ་མའི་བུ། འབྲོམ་མི་ཡེ་ཤེས་སྙིང་པོས་བཏོན། དེས་མྱང་ཤེས་རབ་མཆོག་གི་སྲས།            དེས་ཤང་གི་སྟོན་པ་ལྕེ་ཆུང་བ་ཡེ་ཤེས་རྒྱལ་མཚན་ལ་བཤད། དེས་བླ་མ་གཉན་ཆུང་བ་ལ་གནང་བའོ། །རྒྱ་གར་གྱི་མཁན་པོ་བི་མ་མི་ཏྲ་དང་།            བོད་ཀྱི་ལོ་ཙཱ་བ་དྲན་པ་ཡེ་ཤེས་གཉིས་ཀྱིས་བསྒྱུར་ཅིང་གཏན་ལ་ཕབ་ནས།            མྱང་ཏིང་འཛིན་བཟང་པོས་ལྕགས་སྒྲོམ་ནག་པོའི་ནང་དུ་བྲམ་ཟེའི་རྒྱུད་དྲུག་གདམས་པ་དང་བཅས་པ་བསེ་སྒྲོམ་སྨུག་པོར་བཅུག་ནས།            དབུ་རུ་གཟོང་ཕུག་མོའི་བྲག་ལ་མཁའ་འགྲོ་མ་རྡོ་རྗེ་རྒྱན་གཅིག་མ་དང་། བཛྲ་སཱ་དྷུ་ལེགས་པ་རྩལ་ལ་གཏད་ནས་སྦས་པ་རྫོགས་སོ།།
21,21,རྫོགས་པ་ཆེན་པོ་སངས་རྒྱས་ཐམས་ཅད་ཀྱི་དགོངས་པ་ཆོས་སྐུ་གཅིག་ཏུ་འདུས་པར་བཀའ་བགྲོས་པའི་དོན་རིན་པོ་ཆེ་ཡོན་ཏན་ཀུན་འབྱུང་གི་རྒྱུད་ཅེས་བྱ་བ།,2,100.2,195.3,65,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,རྒྱ་གར་གྱི་མཁན་པོ་བི་མ་ལ་དང་། ཞུ་ཆེན་གྱི་ལོ་ཙཱ་བ་དྲན་པ་ཡེ་ཤེས་ཀྱིས་བསྒྱུར་བ།,ད- ཀ༢༦༩- ༣༠༡ ཚ- ཆ༥
22,22,རྫོགས་པ་ཆེན་པོ་ཤིན་ཏུ་རྣལ་འབྱོར་སངས་རྒྱས་ཐམས་ཅད་འབྱུང་བའི་རྒྱུད་ཡེ་ཤེས་ཆོས་ཀྱི་དོན་འདུས་རིག་པའི་གསང་བ་ཐུགས་ཀྱི་ཏིང་ངེ་འཛིན་རང་བྱུང་བདེ་བའི་འཁོར་ལོ་མཐར་ཕྱིན་འབྲས་བུའི་རྒྱུད།,2,195.3,315.2,67,ལེའུ།,།སྡེ་དགེ་དང་མཚམས་བྲག་རྒྱུད་འབུམ་གཉིས་ཀྱི་ཆོས་ཚན་དཔེ་སྡུར་ཞུས་པའི་དཀར་ཆག::ཨ་ཏི་ཡོ་ག::ཡང་ཏིའི་སྐོར།,རྒྱ་གར་གྱི་མཁན་པོ་བི་མ་མི་ཏྲ་དང་། བོད་ཀྱི་ལོ་ཙཱ་བ་དྲན་པ་ཡེ་ཤེས་ཀྱིས་བསྒྱུར་བ།,ད- ཀ༣༠༢- ༣༤༤ ཚ- ཆ༡༠
